type,value,category,confidence,notes
domain,visit-ledger.at,network,high,"Primary lookalike domain impersonating Ledger. High-value IOC."
url,https://visit-ledger.at/alchcemser,network,high,"Primary call-to-action URL. High-value IOC."
route,/alchcemser,web,high,"Dynamic route value; passed via a param named 'email'."
email-subject,Device Update Required,email,medium,"Subject line; useful for mail search. Generic phrasing may cause FPs."
email-from,noreply@alchemer.com,context,info,"Visible From (sender name Ledger). Legitimate Alchemer address - report to Alchemer, DO NOT block."
email-display-to,restore@ledger.live,email,medium,"Cosmetic To: header; differed from actual recipient."
template-string,[invite(survey_link)],email,medium,"Alchemer template remnant."
template-string,{{@survey_link}},email,medium,"Alchemer template remnant."
alchemer-id,cid495163,email,low,"Alchemer campaign-style identifier (unverified semantics). Report privately to Alchemer."
alchemer-id,sid8936268,email,low,"Alchemer survey-style identifier (unverified semantics)."
alchemer-id,rid1785...9924,email,low,"Alchemer recipient-style identifier, MASKED. Full value private only."
alchemer-id,qid99,email,low,"Alchemer question-style identifier (unverified semantics)."
js-string,createVisitorAction,web,medium,"Server Action name; hunting pivot."
js-string,checkCloakitAction,web,medium,"Server Action name; probable cloaking logic."
js-string,setCloakitTrustAction,web,medium,"Server Action name; probable cloaking logic."
js-string,getRedirectAction,web,medium,"Server Action name; dynamic redirect."
js-string,No redirect URL configured. Set one in the panel.,web,low,"User-facing string."
tls-san,*.visit-ledger.at,tls,medium,"Certificate SAN."
tls-san,visit-ledger.at,tls,medium,"Certificate SAN."
tls-issuer,Let's Encrypt YE1,tls,info,"Legitimate CA; contextual only, NOT malicious."
infra-ip,172.64.80.1,infrastructure,shared,"Cloudflare EDGE, NOT origin. DO NOT BLOCK by itself. Context only."
infra-ipv6,2606:4700:130:436c:6f75:6466:6c61:7265,infrastructure,shared,"Cloudflare edge (observed via OpenSSL). Context only. DO NOT BLOCK."
infra-ns,harlan.ns.cloudflare.com,infrastructure,shared,"Cloudflare name server. Not an IOC."
infra-ns,paris.ns.cloudflare.com,infrastructure,shared,"Cloudflare name server. Not an IOC."
tech,Next.js,infrastructure,info,"Technology fingerprint; contextual, not malicious."
tech,Cloudflare,infrastructure,info,"Technology/infrastructure; contextual, not malicious."
