item_id,timestamp_collected,source,description,classification,confidence,sanitized_value,private_value_location,sha256,notes
E-001,,email,"Subject (encoded/decoded)",FACT,Confirmed,"Device Update Required",,,"MIME Base64; not obfuscation"
E-002,,email,"Envelope vs display recipient",FACT,Confirmed,"To: restore@ledger.live / X-Apparently-To: [REDACTED-EMAIL]",private-evidence,,"Recipient redacted"
E-003,,email,"SPF/DKIM/DMARC",FACT,Confirmed,"Pass/Pass/Pass",,,"Authenticates sender service, not brand"
E-004,,email,"Alchemer template remnants",INFERENCE,High,"[invite(survey_link)] {{@survey_link}}",,,"Alchemer delivery"
E-005,,url,"Primary CTA URL",FACT,Confirmed,"https://visit-ledger.at/alchcemser",,,"Lookalike domain"
E-006,,whois,"Registry changed date",FACT,Confirmed,"20260409 13:21:42",,,"NOT registration date"
E-007,,dns,"A record",FACT,Confirmed,"172.64.80.1",,,"Cloudflare edge; shared; do not block"
E-008,,tls,"Certificate",FACT,Confirmed,"CN=visit-ledger.at; Let's Encrypt YE1; TLS1.3",,,"Valid cert != legitimacy"
E-009,,http,"Initial response",FACT,Confirmed,"HTTP/2 200; Next.js; Cloudflare",,,"No 301/302"
E-010,,web,"HTML shell",FACT,Confirmed,"ledger.html 7294 bytes; /panel referenced",private-evidence,[HASH TO BE CALCULATED],"Panel not accessed"
E-011,,web,"JS chunk",FACT,Confirmed,"app.js 2313 bytes; 4 Server Actions",private-evidence,[HASH TO BE CALCULATED],"Cloakit/redirect logic"
E-012,,browser,"Server Action response",FACT,Confirmed,"visitorId 6a69f7d7...cb113 (masked)",private-evidence,,"text/x-component stream"
E-013,,browser,"Final destination",FACT,Confirmed,"https://www.wikipedia.org/",,,"Client-side redirect"
